data,exam_period,screen_time
2020-12-14,False,135.0
2020-12-15,True,76.0
2020-12-16,True,
2020-12-17,True,
2020-12-18,True,
2020-12-19,True,
2020-12-20,True,78.0
2020-12-21,True,74.0
2020-12-22,True,65.0
2020-12-23,True,81.0
2020-12-24,True,82.0
2020-12-25,True,75.0
2020-12-26,True,71.0
2020-12-27,True,76.0
2020-12-28,True,70.0
2020-12-29,True,81.0
2020-12-30,True,110.0
2020-12-31,True,47.0
2021-01-01,True,60.0
2021-01-02,True,73.0
2021-01-03,True,82.0
2021-01-04,True,112.0
2021-01-05,True,70.0
2021-01-06,True,64.0
2021-01-07,True,80.0
2021-01-08,True,81.0
2021-01-09,True,83.0
2021-01-10,True,75.0
2021-01-11,True,75.0
2021-01-12,True,79.0
2021-01-13,True,76.0
2021-01-14,True,79.0
2021-01-15,True,77.0
2021-01-16,True,72.0
2021-01-17,True,74.0
2021-01-18,True,81.0
2021-01-19,True,73.0
2021-01-20,True,105.0
2021-01-21,True,79.0
2021-01-22,True,82.0
2021-01-23,True,85.0
2021-01-24,True,84.0
2021-01-25,True,79.0
2021-01-26,True,108.0
2021-01-27,True,70.0
2021-01-28,True,78.0
2021-01-29,True,71.0
2021-01-30,True,84.0
2021-01-31,True,73.0
2021-02-01,True,80.0
2021-02-02,True,48.0
2021-02-03,True,29.0
2021-02-04,True,36.0
2021-02-05,True,60.0
2021-02-06,True,71.0
2021-02-07,True,72.0
2021-02-08,True,122.0
2021-02-09,True,77.0
2021-02-10,True,70.0
2021-02-11,True,82.0
2021-02-12,True,84.0
2021-02-13,True,72.0
2021-02-14,True,76.0
2021-02-15,True,28.0
2021-02-16,True,84.0
2021-02-17,True,82.0
2021-02-18,True,75.0
2021-02-19,True,79.0
2021-02-20,True,76.0
2021-02-21,True,76.0
2021-02-22,True,85.0
2021-02-23,True,79.0
2021-02-24,True,72.0
2021-02-25,True,73.0
2021-02-26,True,129.0
2021-02-27,True,70.0
2021-02-28,True,72.0
2021-03-01,True,79.0
2021-03-02,True,85.0
2021-03-03,True,47.0
2021-03-04,True,37.0
2021-03-05,True,70.0
2021-03-06,True,82.0
2021-03-07,True,70.0
2021-03-08,True,86.0
2021-03-09,True,106.0
2021-03-10,True,84.0
2021-03-11,True,124.0
2021-03-12,True,109.0
2021-03-13,True,85.0
2021-03-14,True,80.0
2021-03-15,True,82.0
2021-03-16,False,151.0
2021-03-17,False,135.0
2021-03-18,False,158.0
2021-03-19,False,148.0
2021-03-20,False,140.0
2021-03-21,False,163.0
2021-03-22,False,152.0
2021-03-23,False,138.0
2021-03-24,False,163.0
2021-03-25,False,154.0
2021-03-26,False,154.0
2021-03-27,False,145.0
2021-03-28,False,147.0
2021-03-29,False,159.0
2021-03-30,False,140.0
2021-03-31,False,141.0
2021-04-01,False,162.0
2021-04-02,False,144.0
2021-04-03,False,156.0
2021-04-04,False,162.0
2021-04-05,False,135.0
2021-04-06,False,165.0
2021-04-07,False,162.0
2021-04-08,False,153.0
2021-04-09,False,160.0
2021-04-10,False,150.0
2021-04-11,False,166.0
2021-04-12,False,136.0
2021-04-13,False,143.0
2021-04-14,False,136.0
2021-04-15,False,140.0
2021-04-16,False,138.0
2021-04-17,False,219.0
2021-04-18,False,152.0
2021-04-19,False,147.0
2021-04-20,False,164.0
2021-04-21,False,135.0
2021-04-22,False,146.0
2021-04-23,False,143.0
2021-04-24,False,162.0
2021-04-25,False,136.0
2021-04-26,False,146.0
2021-04-27,False,156.0
2021-04-28,False,161.0
2021-04-29,False,144.0
2021-04-30,False,135.0
2021-05-01,False,142.0
2021-05-02,False,154.0
2021-05-03,False,152.0
2021-05-04,False,97.0
2021-05-05,False,95.0
2021-05-06,False,121.0
2021-05-07,False,135.0
2021-05-08,False,152.0
2021-05-09,False,141.0
2021-05-10,False,
2021-05-11,False,
2021-05-12,False,
2021-05-13,False,
2021-05-14,False,151.0
2021-05-15,False,154.0
2021-05-16,False,152.0
2021-05-17,False,157.0
2021-05-18,False,138.0
2021-05-19,False,151.0
2021-05-20,False,138.0
2021-05-21,False,138.0
2021-05-22,False,158.0
2021-05-23,False,160.0
2021-05-24,False,154.0
2021-05-25,False,171.0
2021-05-26,False,159.0
2021-05-27,False,136.0
2021-05-28,False,151.0
2021-05-29,False,163.0
2021-05-30,False,146.0
2021-05-31,False,149.0
2021-06-01,False,118.0
2021-06-02,False,140.0
2021-06-03,False,151.0
2021-06-04,False,203.0
2021-06-05,False,130.0
2021-06-06,False,147.0
2021-06-07,False,139.0
2021-06-08,False,155.0
2021-06-09,False,97.0
2021-06-10,False,137.0
2021-06-11,False,151.0
2021-06-12,False,183.0
2021-06-13,False,142.0
2021-06-14,False,114.0
2021-06-15,True,71.0
2021-06-16,True,77.0
2021-06-17,True,82.0
2021-06-18,True,84.0
2021-06-19,True,78.0
2021-06-20,True,73.0
2021-06-21,True,74.0
2021-06-22,True,73.0
2021-06-23,True,28.0
2021-06-24,True,81.0
2021-06-25,True,71.0
2021-06-26,True,79.0
2021-06-27,True,79.0
2021-06-28,True,70.0
2021-06-29,True,67.0
2021-06-30,True,70.0
2021-07-01,True,70.0
